OBJECTID,Latitude (degree),Longitude (degree),Ocean,Region,Subregion,Country,State,Beach Location,Marine Setting,Ocean Bottom Depth (m),Water Sample Depth (m),Sediment Sample Depth (m),Sampling Method,Mesh Size (mm),Transect Number,Sampling Point on Beach,Volunteers Number,Collecting Time (min),Standardized Nurdle  Amount,Microplastics Measurement,Unit,Concentration Class Range,Concentration Class,Short Reference,Long Reference,DOI,Organization,Keywords,NCEI Accession Number,NCEI Accession Link,Symbology,GlobalID,Sample Date,x,y
7212,16.36,-159.94,Pacific Ocean,,,,,,Ocean water,,0,,Neuston net,0.335,,,,,,0.016196,pieces/m3,0.005-1,Medium,Law et al.2014,"Law, K.L, S.K. Morét-Ferguson, D.S. Goodwin, E.R. Zettler, E. DeForce, T. Kukulka, et al. 2014. Distribution of surface plastic debris in the eastern Pacific Ocean from an 11-year data set. Environ Sci Technol. 48(9):4732–8.",https://doi.org/10.1021/es4053076,Sea Education Association,SEA,211008,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211008,"Ocean Surface, Medium, 0.005-1 pieces/m3",f2ac3a2f-5e22-4569-955e-c059c0b6774f,10/22/2006 12:00:00 AM,-159.94,16.3600000000001
7213,16.28,-160.37,Pacific Ocean,,,,,,Ocean water,,0,,Neuston net,0.335,,,,,,0,pieces/m3,0-0.0005,Very Low,Law et al.2014,"Law, K.L, S.K. Morét-Ferguson, D.S. Goodwin, E.R. Zettler, E. DeForce, T. Kukulka, et al. 2014. Distribution of surface plastic debris in the eastern Pacific Ocean from an 11-year data set. Environ Sci Technol. 48(9):4732–8.",https://doi.org/10.1021/es4053076,Sea Education Association,SEA,211008,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211008,"Ocean Surface, Very Low, 0-0.0005 pieces/m3",97d6d730-1da8-401e-9e02-6372c5908faf,10/23/2006 12:00:00 AM,-160.37,16.28
7214,16.13,-162,Pacific Ocean,,,,,,Ocean water,,0,,Neuston net,0.335,,,,,,0.00648,pieces/m3,0.005-1,Medium,Law et al.2014,"Law, K.L, S.K. Morét-Ferguson, D.S. Goodwin, E.R. Zettler, E. DeForce, T. Kukulka, et al. 2014. Distribution of surface plastic debris in the eastern Pacific Ocean from an 11-year data set. Environ Sci Technol. 48(9):4732–8.",https://doi.org/10.1021/es4053076,Sea Education Association,SEA,211008,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211008,"Ocean Surface, Medium, 0.005-1 pieces/m3",74d92a3c-2b6b-483b-8fd9-6b6d97a56b1a,10/23/2006 12:00:00 AM,-162,16.1300000000001
7215,15.94,-162.49,Pacific Ocean,,,,,,Ocean water,,0,,Neuston net,0.335,,,,,,0,pieces/m3,0-0.0005,Very Low,Law et al.2014,"Law, K.L, S.K. Morét-Ferguson, D.S. Goodwin, E.R. Zettler, E. DeForce, T. Kukulka, et al. 2014. Distribution of surface plastic debris in the eastern Pacific Ocean from an 11-year data set. Environ Sci Technol. 48(9):4732–8.",https://doi.org/10.1021/es4053076,Sea Education Association,SEA,211008,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211008,"Ocean Surface, Very Low, 0-0.0005 pieces/m3",99ea1b7c-5c9c-45c4-8072-38387379e8d5,10/24/2006 12:00:00 AM,-162.49,15.9400000000001
7216,15.25,-157.55,Pacific Ocean,,,,,,Ocean water,,0,,Neuston net,0.335,,,,,,0,pieces/m3,0-0.0005,Very Low,Law et al.2014,"Law, K.L, S.K. Morét-Ferguson, D.S. Goodwin, E.R. Zettler, E. DeForce, T. Kukulka, et al. 2014. Distribution of surface plastic debris in the eastern Pacific Ocean from an 11-year data set. Environ Sci Technol. 48(9):4732–8.",https://doi.org/10.1021/es4053076,Sea Education Association,SEA,211008,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211008,"Ocean Surface, Very Low, 0-0.0005 pieces/m3",190cedb2-5215-4c80-bfbb-400fe9b3eb80,10/24/2006 12:00:00 AM,-157.55,15.2500000000001
7217,14.71,-157.43,Pacific Ocean,,,,,,Ocean water,,0,,Neuston net,0.335,,,,,,0.0072,pieces/m3,0.005-1,Medium,Law et al.2014,"Law, K.L, S.K. Morét-Ferguson, D.S. Goodwin, E.R. Zettler, E. DeForce, T. Kukulka, et al. 2014. Distribution of surface plastic debris in the eastern Pacific Ocean from an 11-year data set. Environ Sci Technol. 48(9):4732–8.",https://doi.org/10.1021/es4053076,Sea Education Association,SEA,211008,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211008,"Ocean Surface, Medium, 0.005-1 pieces/m3",2154171e-cb71-424e-a022-66cc6b0756b5,10/26/2006 12:00:00 AM,-157.43,14.71
7218,14.12,-157.12,Pacific Ocean,,,,,,Ocean water,,0,,Neuston net,0.335,,,,,,0,pieces/m3,0-0.0005,Very Low,Law et al.2014,"Law, K.L, S.K. Morét-Ferguson, D.S. Goodwin, E.R. Zettler, E. DeForce, T. Kukulka, et al. 2014. Distribution of surface plastic debris in the eastern Pacific Ocean from an 11-year data set. Environ Sci Technol. 48(9):4732–8.",https://doi.org/10.1021/es4053076,Sea Education Association,SEA,211008,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211008,"Ocean Surface, Very Low, 0-0.0005 pieces/m3",616d0b0a-b869-4a52-848c-4ead1e291e5a,10/26/2006 12:00:00 AM,-157.12,14.1200000000001
7219,13.69,-156.87,Pacific Ocean,,,,,,Ocean water,,0,,Neuston net,0.335,,,,,,0.018584,pieces/m3,0.005-1,Medium,Law et al.2014,"Law, K.L, S.K. Morét-Ferguson, D.S. Goodwin, E.R. Zettler, E. DeForce, T. Kukulka, et al. 2014. Distribution of surface plastic debris in the eastern Pacific Ocean from an 11-year data set. Environ Sci Technol. 48(9):4732–8.",https://doi.org/10.1021/es4053076,Sea Education Association,SEA,211008,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211008,"Ocean Surface, Medium, 0.005-1 pieces/m3",50936f0b-5cab-429d-aaac-7699aa46a77a,10/28/2006 12:00:00 AM,-156.87,13.6900000000001
7220,12.95,-156.94,Pacific Ocean,,,,,,Ocean water,,0,,Neuston net,0.335,,,,,,0.0216,pieces/m3,0.005-1,Medium,Law et al.2014,"Law, K.L, S.K. Morét-Ferguson, D.S. Goodwin, E.R. Zettler, E. DeForce, T. Kukulka, et al. 2014. Distribution of surface plastic debris in the eastern Pacific Ocean from an 11-year data set. Environ Sci Technol. 48(9):4732–8.",https://doi.org/10.1021/es4053076,Sea Education Association,SEA,211008,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211008,"Ocean Surface, Medium, 0.005-1 pieces/m3",2b113c4a-da83-4c6e-935e-2b97f30c3641,10/28/2006 12:00:00 AM,-156.94,12.95
7221,12.52,-156.96,Pacific Ocean,,,,,,Ocean water,,0,,Neuston net,0.335,,,,,,0.0072,pieces/m3,0.005-1,Medium,Law et al.2014,"Law, K.L, S.K. Morét-Ferguson, D.S. Goodwin, E.R. Zettler, E. DeForce, T. Kukulka, et al. 2014. Distribution of surface plastic debris in the eastern Pacific Ocean from an 11-year data set. Environ Sci Technol. 48(9):4732–8.",https://doi.org/10.1021/es4053076,Sea Education Association,SEA,211008,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211008,"Ocean Surface, Medium, 0.005-1 pieces/m3",d61080d4-402d-4a90-9fb2-b623df577b10,10/30/2006 12:00:00 AM,-156.96,12.52
